rank_method,percentile,mean_odds_ratio,mean_relative_risk
PGS000533_rank,10%,1.574559562151381,1.5211413132616067
PGS000533_rank,20%,1.4751286849118994,1.4363152627555542
PGS000533_rank,5%,1.5331092817870273,1.4795038448308677
PGS000534_rank,10%,1.574559562151381,1.5211413132616067
PGS000534_rank,20%,1.4751286849118994,1.4363152627555542
PGS000534_rank,5%,1.5331092817870273,1.4795038448308677
PGS000535_rank,10%,1.7993759555024442,1.7192970260715843
PGS000535_rank,20%,1.618727055832014,1.565729424860582
PGS000535_rank,5%,1.9362510716488834,1.828736630245179
PGS000536_rank,10%,1.851177506496946,1.76488461258069
PGS000536_rank,20%,1.7023416723024931,1.6405947019283524
PGS000536_rank,5%,2.10578512924878,1.9719197307771115
PGS000537_rank,10%,1.6921136613566046,1.6253794497161378
PGS000537_rank,20%,1.563454839798809,1.516040278786971
PGS000537_rank,5%,1.6999678855055935,1.6247680566647307
PGS000538_rank,10%,1.487415523757788,1.4434020101359653
PGS000538_rank,20%,1.4440619877292051,1.4080459518211859
PGS000538_rank,5%,1.530481721956166,1.4757723520883501
PGS000539_rank,10%,1.8548646972891802,1.7674237062114602
PGS000539_rank,20%,1.6881622291024463,1.6279002550086374
PGS000539_rank,5%,2.0737964404815594,1.9446505977817699
PGS000540_rank,10%,1.859356291636029,1.7712450229125267
PGS000540_rank,20%,1.7275581867590215,1.6628603463016003
PGS000540_rank,5%,2.021296613949913,1.9000607608465705
PGS000773_rank,10%,1.5141208893410323,1.4675085772647327
PGS000773_rank,20%,1.5314811585996813,1.4872928235109628
PGS000773_rank,5%,1.726841650369552,1.6487197044454243
PGS000774_rank,10%,1.5597336483844355,1.5083720314875648
PGS000774_rank,20%,1.498387751858367,1.4574391865161829
PGS000774_rank,5%,1.774826968469528,1.6898209161824214
PGS000775_rank,10%,1.2872797723030607,1.2627223614308796
PGS000775_rank,20%,1.292846789416607,1.2704173336144122
PGS000775_rank,5%,1.2305595822017692,1.2061952213075329
PGS001336_rank,10%,1.457903091985639,1.4168649403268263
PGS001336_rank,20%,1.4210309761928968,1.3872629484289924
PGS001336_rank,5%,1.4806982725477222,1.4313886570563201
PGS001778_rank,10%,1.4737081224402324,1.4310123098010088
PGS001778_rank,20%,1.4090499447747824,1.3764418440845285
PGS001778_rank,5%,1.3800472915311888,1.3419147530069053
PGS001804_rank,10%,1.5149260309374497,1.4680970998560552
PGS001804_rank,20%,1.5402743098351264,1.4950492409006473
PGS001804_rank,5%,1.6191748814319777,1.5545623948158689
PGS002015_rank,10%,1.5119590802168708,1.4653842487934534
PGS002015_rank,20%,1.5052784915078063,1.4633754889480142
PGS002015_rank,5%,1.585635196540486,1.5251992332677196
PGS002242_rank,10%,0.8852345117033882,0.888500903377768
PGS002242_rank,20%,0.9902502722536484,0.9893272457409445
PGS002242_rank,5%,0.9051188867833961,0.9044111742865937
PGS002294_rank,10%,1.297579366393748,1.2722831286386935
PGS002294_rank,20%,1.3629200896545968,1.3344030897759829
PGS002294_rank,5%,1.1899675081344137,1.1696026991730877
PGS003380_rank,10%,0.7627419773199345,0.7712557901873945
PGS003380_rank,20%,0.9173313771823709,0.9204418701541283
PGS003380_rank,5%,0.8224297019261,0.825895834502016
PGS003396_rank,10%,1.239744087490639,1.2196451040423102
PGS003396_rank,20%,1.2208064547041388,1.2041958741756567
PGS003396_rank,5%,1.285815771885699,1.257323369939887
PGS003397_rank,10%,1.2582285237134294,1.2365385948777168
PGS003397_rank,20%,1.2755002068259171,1.2545789203912883
PGS003397_rank,5%,1.2622004869633274,1.2362498413763836
PGS003398_rank,10%,1.7764619136560331,1.6991278762094215
PGS003398_rank,20%,1.5261979657982552,1.4824165613671385
PGS003398_rank,5%,1.994883734685115,1.878430604291115
PGS003399_rank,10%,1.712551509118423,1.6433701654842654
PGS003399_rank,20%,1.5817820429481586,1.5326514438506236
PGS003399_rank,5%,1.7140515210696385,1.6375379809248831
PGS003738_rank,10%,1.612525460897601,1.555396070222691
PGS003738_rank,20%,1.5116061774176566,1.4693060955028319
PGS003738_rank,5%,1.744501584348424,1.6640368616473635
PGS003758_rank,10%,1.1399417892513588,1.1273928497948245
PGS003758_rank,20%,1.1921922524886945,1.1777569372962908
PGS003758_rank,5%,1.0718339966872987,1.0609206912575304
PGS003759_rank,10%,1.5343427617501977,1.4853421422979434
PGS003759_rank,20%,1.3800623460183732,1.3500933092621172
PGS003759_rank,5%,1.7554583845354226,1.6733578143264327
ams_rank,10%,1.7672128188932454,1.6912335515728896
ams_rank,20%,1.6906661183367946,1.6299783770101568
ams_rank,5%,1.89062371345866,1.7897752908963582
avg_pgs_rank,10%,1.648334049778059,1.5868503391288693
avg_pgs_rank,20%,1.5888556351593848,1.5389538021727063
avg_pgs_rank,5%,1.6886059196827614,1.615023650478953
avg_ra_rank,10%,1.7583119770608309,1.6834770020940268
avg_ra_rank,20%,1.6930727544134618,1.6321534429743625
avg_ra_rank,5%,1.8666595417351148,1.7691596093710322
bcs_rank,10%,1.7722540936764457,1.6956102610965347
bcs_rank,20%,1.6972666139178014,1.6358751061812558
bcs_rank,5%,1.9023352493389303,1.7997864725437973
lasso_rank,10%,1.9347178340142317,1.8317984042859048
lasso_rank,20%,1.7811099711040363,1.708105642083553
lasso_rank,5%,2.1178528874577855,1.9736114492766692
logs_rank,10%,1.7565229572415662,1.6817990044957805
logs_rank,20%,1.687740758574839,1.627444327329112
logs_rank,5%,1.9168669048720333,1.8125190833855631
mc4_rank,10%,1.7230056384367196,1.6523223572296968
mc4_rank,20%,1.6843880874612953,1.6244111692436678
mc4_rank,5%,1.7992358536356294,1.7115122870329813
mct_rank,10%,1.7272459211010456,1.6559987136997656
mct_rank,20%,1.6878004013073977,1.6274593194529798
mct_rank,5%,1.8075927505135654,1.7187350683528853
mu_rank,10%,1.7669649157071021,1.6910064542345347
mu_rank,20%,1.6906661183367946,1.6299783770101568
mu_rank,5%,1.8911328855200125,1.7902138726811647
ols_rank,10%,1.5786991045452974,1.5248739591994687
ols_rank,20%,1.502998076985454,1.4613152187810925
ols_rank,5%,1.7053802530925783,1.6292732040404931
sbs_rank,10%,1.772649160182693,1.6959668214296346
sbs_rank,20%,1.697463142902877,1.6360515294063158
sbs_rank,5%,1.9033448280637104,1.8006617292306248
true_rank,10%,Inf,Inf
true_rank,20%,Inf,Inf
true_rank,5%,Inf,Inf
