rank_method,group_percentile,mean_standardized_difference
PGS002859_rank,Top 10%,13.44187952931249
PGS002859_rank,Top 20%,16.417008215440912
PGS002859_rank,Top 5%,10.851375215107486
PGS003124_rank,Top 10%,3.68597339524741
PGS003124_rank,Top 20%,2.540159871294687
PGS003124_rank,Top 5%,2.65850530212927
PGS003125_rank,Top 10%,4.129896987180742
PGS003125_rank,Top 20%,3.606095039071954
PGS003125_rank,Top 5%,3.17578648221682
PGS003126_rank,Top 10%,4.313576210329068
PGS003126_rank,Top 20%,3.523136962628857
PGS003126_rank,Top 5%,3.2856667963242745
PGS003127_rank,Top 10%,3.0534194456571075
PGS003127_rank,Top 20%,3.0011348034701126
PGS003127_rank,Top 5%,2.581688194658858
PGS003128_rank,Top 10%,6.067621872492735
PGS003128_rank,Top 20%,3.261385805607109
PGS003128_rank,Top 5%,3.8061101946698117
PGS003130_rank,Top 10%,5.254324819187953
PGS003130_rank,Top 20%,4.0341805813546365
PGS003130_rank,Top 5%,4.074464596327574
PGS003131_rank,Top 10%,5.612699411310049
PGS003131_rank,Top 20%,4.116541983077143
PGS003131_rank,Top 5%,4.199705476093142
PGS003132_rank,Top 10%,0.6568048975631873
PGS003132_rank,Top 20%,0.5509498150763431
PGS003132_rank,Top 5%,0.37904324451764276
PGS003133_rank,Top 10%,6.046562817704448
PGS003133_rank,Top 20%,3.588657852344786
PGS003133_rank,Top 5%,3.783564111031565
PGS003462_rank,Top 10%,1.8522523701438007
PGS003462_rank,Top 20%,2.0110579435895555
PGS003462_rank,Top 5%,1.2995216570704178
PGS003525_rank,Top 10%,13.829132947622227
PGS003525_rank,Top 20%,17.218369026442723
PGS003525_rank,Top 5%,10.972540495914508
ams_rank,Top 10%,13.87265529463573
ams_rank,Top 20%,17.647465854572875
ams_rank,Top 5%,10.365351580116071
avg_pgs_rank,Top 10%,9.875835379667148
avg_pgs_rank,Top 20%,14.031217854772866
avg_pgs_rank,Top 5%,6.491858996140062
avg_ra_rank,Top 10%,14.003638656745633
